"case_id","case","url","firm","case_name","google_url","cordinate","lat","lon","district"
18,"利融建設-頂庄路案(仮) 15F","https://www.facebook.com/media/set/?set=a.589456403214944&type=3","利融建設","頂庄路案(仮) 15F","https://is.gd/J9VadE",NA,22.588546,120.3627608,"鳳山區"
21,"尚雍建設-尚雍文心2 10F","https://www.facebook.com/media/set/?set=a.727961362697780&type=3","尚雍建設","尚雍文心2 10F","https://is.gd/i4LmkB",NA,22.5914677,120.3299919,"鳳山區"
22,"祥傑建設-橘・臻美 15F","https://www.facebook.com/media/set/?set=a.476452817848637&type=3","祥傑建設","橘・臻美 15F","https://is.gd/9qnSIH",NA,22.587345,120.3313118,"鳳山區"
27,"鋭揚建設-鋭揚新生活 14F","https://www.facebook.com/media/set/?set=a.711883877638862&type=3","鋭揚建設","鋭揚新生活 14F","https://is.gd/ri6efC","22°35'43.4\N 120°20'34.8\E · No. 297, Fengjia Rd, Fengshan District, Kaohsiung City, Taiwan 830",22.5951667,120.3427017,"鳳山區"
28,"鋭揚建設-鋭揚新樂活 14F","https://www.facebook.com/media/set/?set=a.589453746548543&type=3","鋭揚建設","鋭揚新樂活 14F","https://is.gd/lE6bwj",NA,22.591536,120.3447868,"鳳山區"
34,"如邑建設-如邑・知築 15F","https://www.facebook.com/media/set/?set=a.647858834041367&type=3","如邑建設","如邑・知築 15F","https://is.gd/vbHnKf","22°37'33.6\N 120°22'27.0\E · 830, Taiwan, Kaohsiung City, Fengshan District, 勝利路南巷2號",22.6261403,120.3740854,"鳳山區"
36,"興富發建設-孟學苑 24F","https://www.facebook.com/media/set/?set=a.585688306925087&type=3","興富發建設","孟學苑 24F","https://is.gd/5iXplb",NA,22.6567981,120.3144596,"三民區"
44,"住都中心-本和安居 14F","https://www.facebook.com/media/set/?set=a.643873734439877&type=3","住都中心","本和安居 14F","https://is.gd/sFhlj2","22°39'28.6\N 120°19'25.5\E · 807, Taiwan, Kaohsiung City, Sanmin District, 本和里",22.657934,120.3231073,"三民區"
46,"國聯地產-大順棧 15F","https://www.facebook.com/media/set/?set=a.690301183130465&type=3","國聯地產","大順棧 15F","https://is.gd/LiXDAO",NA,22.6434298,120.3266813,"三民區"
47,"尊邑建設-覺民路案(仮) 29F","https://www.facebook.com/media/set/?set=a.707859654707951&type=3","尊邑建設","覺民路案(仮) 29F","https://is.gd/DTm2FR","22°38'28.0\N 120°19'47.6\E · No. 560, Juemin Rd, Sanmin District, Kaohsiung City, Taiwan 807",22.6411012,120.3292363,"三民區"
51,"上和發建築-育德一街案(仮) 15F","https://www.facebook.com/media/set/?set=a.723618523132064&type=3","上和發建築","育德一街案(仮) 15F","https://is.gd/TyZQ1O",NA,22.6683233,120.3601334,"鳥松區"
55,"佳鋐建設-赤仁路案A(仮) 14F","https://www.facebook.com/media/set/?set=a.491446516349267&type=3","佳鋐建設","赤仁路案A(仮) 14F","https://is.gd/HBRN8u",NA,22.676905,120.3468458,"仁武區"
56,"德禎建設-飛翔家2 13F","https://www.facebook.com/media/set/?set=a.723616949798888&type=3","德禎建設","飛翔家2 13F","https://is.gd/T0pb5A",NA,22.7077354,120.3384726,"仁武區"
57,"高京建設-米蘭花園 13F","https://www.facebook.com/media/set/?set=a.723612756465974&type=3","高京建設","米蘭花園 13F","https://is.gd/dfn4F4",NA,22.7040622,120.3504183,"仁武區"
3,"清景麟建設&三地開發-AI慕光城 24F","https://www.facebook.com/media/set/?set=a.749396163887633&type=3","清景麟建設&三地開發","AI慕光城 24F","https://bit.ly/3NSRHVy","22°35'52.1\N 120°19'11.2\E · 806, Taiwan, Kaohsiung City, Qianzhen District, 瑞竹里",22.5978055555556,120.319777777778,"前鎮區"
24,"頂誠建設-鳳南一路案(仮) 15F","https://www.facebook.com/media/set/?set=a.749376817222901&type=3","頂誠建設","鳳南一路案(仮) 15F","https://bit.ly/3S6T9pS","22°35'21.8\N 120°20'41.7\E · 830, Taiwan, Kaohsiung City, Fengshan District, 南成里",22.5893888888889,120.344916666667,"鳳山區"
29,"名陞開發-力行路案(仮) 14F","https://www.facebook.com/media/set/?set=a.843863184440930&type=3","名陞開發","力行路案(仮) 14F","https://bit.ly/3KGP5b7","22°36'18.7\N 120°23'45.4\E · No. 2號, Lane 478, Fenglinsan Rd, Daliao District, Kaohsiung City, Taiwan 831",22.6051944444444,120.395944444444,"大寮區"
30,"吉隆建設-正氣路案(仮) 15F","https://www.facebook.com/media/set/?set=a.843864474440801&type=3","吉隆建設","正氣路案(仮) 15F","https://bit.ly/3Xl9daF","22°36'09.6\N 120°23'47.2\E · No. 11, Zhengqi Rd, Daliao District, Kaohsiung City, Taiwan 831",22.6026666666667,120.396444444444,"大寮區"
